cc_2000,cc_2008,cc_2010,comuna,comuna_2000,comuna_2008,comuna_2010,region_2000,region,region_2010
1201,15101,15101,Arica,1201,15101,15101,1,De Arica y Parinacota,15
1202,15102,15102,Camarones,1202,15102,15102,1,De Arica y Parinacota,15
1301,15201,15201,Putre,1301,15201,15201,1,De Arica y Parinacota,15
1302,15202,15202,General Lagos,1302,15202,15202,1,De Arica y Parinacota,15
1101,1101,1101,Iquique,1101,1101,1101,1,De Tarapacá,1
1102,1402,1402,Camiña,1102,1402,1402,1,De Tarapacá,1
1103,1403,1403,Colchane,1103,1403,1403,1,De Tarapacá,1
1104,1404,1404,Huara,1104,1404,1404,1,De Tarapacá,1
1105,1405,1405,Pica,1105,1405,1405,1,De Tarapacá,1
1106,1401,1401,Pozo Almonte,1106,1401,1401,1,De Tarapacá,1
1107,1107,1107,Alto Hospicio,1107,1107,1107,1,De Tarapacá,1
2101,2101,2101,Antofagasta,2101,2101,2101,2,De Antofagasta,2
2102,2102,2102,Mejillones,2102,2102,2102,2,De Antofagasta,2
2103,2103,2103,Sierra Gorda,2103,2103,2103,2,De Antofagasta,2
2104,2104,2104,Taltal,2104,2104,2104,2,De Antofagasta,2
2201,2201,2201,Calama,2201,2201,2201,2,De Antofagasta,2
2202,2202,2202,Ollagüe,2202,2202,2202,2,De Antofagasta,2
2203,2203,2203,San Pedro de Atacama,2203,2203,2203,2,De Antofagasta,2
2301,2301,2301,Tocopilla,2301,2301,2301,2,De Antofagasta,2
2302,2302,2302,María Elena,2302,2302,2302,2,De Antofagasta,2
3101,3101,3101,Copiapó,3101,3101,3101,3,De Atacama,3
3102,3102,3102,Caldera,3102,3102,3102,3,De Atacama,3
3103,3103,3103,Tierra Amarilla,3103,3103,3103,3,De Atacama,3
3201,3201,3201,Chañaral,3201,3201,3201,3,De Atacama,3
3202,3202,3202,Diego de Almagro,3202,3202,3202,3,De Atacama,3
3301,3301,3301,Vallenar,3301,3301,3301,3,De Atacama,3
3302,3302,3302,Alto del Carmen,3302,3302,3302,3,De Atacama,3
3303,3303,3303,Freirina,3303,3303,3303,3,De Atacama,3
3304,3304,3304,Huasco,3304,3304,3304,3,De Atacama,3
4101,4101,4101,La Serena,4101,4101,4101,4,De Coquimbo,4
4102,4102,4102,Coquimbo,4102,4102,4102,4,De Coquimbo,4
4103,4103,4103,Andacollo,4103,4103,4103,4,De Coquimbo,4
4104,4104,4104,La Higuera,4104,4104,4104,4,De Coquimbo,4
4105,4105,4105,Paiguano,4105,4105,4105,4,De Coquimbo,4
4106,4106,4106,Vicuña,4106,4106,4106,4,De Coquimbo,4
4201,4201,4201,Illapel,4201,4201,4201,4,De Coquimbo,4
4202,4202,4202,Canela,4202,4202,4202,4,De Coquimbo,4
4203,4203,4203,Los Vilos,4203,4203,4203,4,De Coquimbo,4
4204,4204,4204,Salamanca,4204,4204,4204,4,De Coquimbo,4
4301,4301,4301,Ovalle,4301,4301,4301,4,De Coquimbo,4
4302,4302,4302,Combarbalá,4302,4302,4302,4,De Coquimbo,4
4303,4303,4303,Monte Patria,4303,4303,4303,4,De Coquimbo,4
4304,4304,4304,Punitaqui,4304,4304,4304,4,De Coquimbo,4
4305,4305,4305,Río Hurtado,4305,4305,4305,4,De Coquimbo,4
5101,5101,5101,Valparaíso,5101,5101,5101,5,De Valparaíso,5
5102,5102,5102,Casablanca,5102,5102,5102,5,De Valparaíso,5
5103,5103,5103,Concón,5103,5103,5103,5,De Valparaíso,5
5104,5104,5104,Juan Fernández,5104,5104,5104,5,De Valparaíso,5
5105,5105,5105,Puchuncaví,5105,5105,5105,5,De Valparaíso,5
5106,5106,5801,Quilpué,5106,5106,5801,5,De Valparaíso,5
5107,5107,5107,Quintero,5107,5107,5107,5,De Valparaíso,5
5108,5108,5804,Villa Alemana,5108,5108,5804,5,De Valparaíso,5
5109,5109,5109,Viña del Mar,5109,5109,5109,5,De Valparaíso,5
5201,5201,5201,Isla  de Pascua,5201,5201,5201,5,De Valparaíso,5
5301,5301,5301,Los Andes,5301,5301,5301,5,De Valparaíso,5
5302,5302,5302,Calle Larga,5302,5302,5302,5,De Valparaíso,5
5303,5303,5303,Rinconada,5303,5303,5303,5,De Valparaíso,5
5304,5304,5304,San Esteban,5304,5304,5304,5,De Valparaíso,5
5401,5401,5401,La Ligua,5401,5401,5401,5,De Valparaíso,5
5402,5402,5402,Cabildo,5402,5402,5402,5,De Valparaíso,5
5403,5403,5403,Papudo,5403,5403,5403,5,De Valparaíso,5
5404,5404,5404,Petorca,5404,5404,5404,5,De Valparaíso,5
5405,5405,5405,Zapallar,5405,5405,5405,5,De Valparaíso,5
5501,5501,5501,Quillota,5501,5501,5501,5,De Valparaíso,5
5502,5502,5502,Calera,5502,5502,5502,5,De Valparaíso,5
5503,5503,5503,Hijuelas,5503,5503,5503,5,De Valparaíso,5
5504,5504,5504,La Cruz,5504,5504,5504,5,De Valparaíso,5
5505,5505,5802,Limache,5505,5505,5802,5,De Valparaíso,5
5506,5506,5506,Nogales,5506,5506,5506,5,De Valparaíso,5
5507,5507,5803,Olmué,5507,5507,5803,5,De Valparaíso,5
5601,5601,5601,San Antonio,5601,5601,5601,5,De Valparaíso,5
5602,5602,5602,Algarrobo,5602,5602,5602,5,De Valparaíso,5
5603,5603,5603,Cartagena,5603,5603,5603,5,De Valparaíso,5
5604,5604,5604,El Quisco,5604,5604,5604,5,De Valparaíso,5
5605,5605,5605,El Tabo,5605,5605,5605,5,De Valparaíso,5
5606,5606,5606,Santo Domingo,5606,5606,5606,5,De Valparaíso,5
5701,5701,5701,San Felipe,5701,5701,5701,5,De Valparaíso,5
5702,5702,5702,Catemu,5702,5702,5702,5,De Valparaíso,5
5703,5703,5703,Llaillay,5703,5703,5703,5,De Valparaíso,5
5704,5704,5704,Panquehue,5704,5704,5704,5,De Valparaíso,5
5705,5705,5705,Putaendo,5705,5705,5705,5,De Valparaíso,5
5706,5706,5706,Santa María,5706,5706,5706,5,De Valparaíso,5
6101,6101,6101,Rancagua,6101,6101,6101,6,Del Libertador B. O'Higgins,6
6102,6102,6102,Codegua,6102,6102,6102,6,Del Libertador B. O'Higgins,6
6103,6103,6103,Coinco,6103,6103,6103,6,Del Libertador B. O'Higgins,6
6104,6104,6104,Coltauco,6104,6104,6104,6,Del Libertador B. O'Higgins,6
6105,6105,6105,Doñihue,6105,6105,6105,6,Del Libertador B. O'Higgins,6
6106,6106,6106,Graneros,6106,6106,6106,6,Del Libertador B. O'Higgins,6
6107,6107,6107,Las Cabras,6107,6107,6107,6,Del Libertador B. O'Higgins,6
6108,6108,6108,Machalí,6108,6108,6108,6,Del Libertador B. O'Higgins,6
6109,6109,6109,Malloa,6109,6109,6109,6,Del Libertador B. O'Higgins,6
6110,6110,6110,Mostazal,6110,6110,6110,6,Del Libertador B. O'Higgins,6
6111,6111,6111,Olivar,6111,6111,6111,6,Del Libertador B. O'Higgins,6
6112,6112,6112,Peumo,6112,6112,6112,6,Del Libertador B. O'Higgins,6
6113,6113,6113,Pichidegua,6113,6113,6113,6,Del Libertador B. O'Higgins,6
6114,6114,6114,Quinta de Tilcoco,6114,6114,6114,6,Del Libertador B. O'Higgins,6
6115,6115,6115,Rengo,6115,6115,6115,6,Del Libertador B. O'Higgins,6
6116,6116,6116,Requínoa,6116,6116,6116,6,Del Libertador B. O'Higgins,6
6117,6117,6117,San Vicente,6117,6117,6117,6,Del Libertador B. O'Higgins,6
6201,6201,6201,Pichilemu,6201,6201,6201,6,Del Libertador B. O'Higgins,6
6202,6202,6202,La Estrella,6202,6202,6202,6,Del Libertador B. O'Higgins,6
6203,6203,6203,Litueche,6203,6203,6203,6,Del Libertador B. O'Higgins,6
6204,6204,6204,Marchihue,6204,6204,6204,6,Del Libertador B. O'Higgins,6
6205,6205,6205,Navidad,6205,6205,6205,6,Del Libertador B. O'Higgins,6
6206,6206,6206,Paredones,6206,6206,6206,6,Del Libertador B. O'Higgins,6
6301,6301,6301,San Fernando,6301,6301,6301,6,Del Libertador B. O'Higgins,6
6302,6302,6302,Chépica,6302,6302,6302,6,Del Libertador B. O'Higgins,6
6303,6303,6303,Chimbarongo,6303,6303,6303,6,Del Libertador B. O'Higgins,6
6304,6304,6304,Lolol,6304,6304,6304,6,Del Libertador B. O'Higgins,6
6305,6305,6305,Nancagua,6305,6305,6305,6,Del Libertador B. O'Higgins,6
6306,6306,6306,Palmilla,6306,6306,6306,6,Del Libertador B. O'Higgins,6
6307,6307,6307,Peralillo,6307,6307,6307,6,Del Libertador B. O'Higgins,6
6308,6308,6308,Placilla,6308,6308,6308,6,Del Libertador B. O'Higgins,6
6309,6309,6309,Pumanque,6309,6309,6309,6,Del Libertador B. O'Higgins,6
6310,6310,6310,Santa Cruz,6310,6310,6310,6,Del Libertador B. O'Higgins,6
7101,7101,7101,Talca,7101,7101,7101,7,Del Maule,7
7102,7102,7102,Constitución,7102,7102,7102,7,Del Maule,7
7103,7103,7103,Curepto,7103,7103,7103,7,Del Maule,7
7104,7104,7104,Empedrado,7104,7104,7104,7,Del Maule,7
7105,7105,7105,Maule,7105,7105,7105,7,Del Maule,7
7106,7106,7106,Pelarco,7106,7106,7106,7,Del Maule,7
7107,7107,7107,Pencahue,7107,7107,7107,7,Del Maule,7
7108,7108,7108,Río Claro,7108,7108,7108,7,Del Maule,7
7109,7109,7109,San Clemente,7109,7109,7109,7,Del Maule,7
7110,7110,7110,San Rafael,7110,7110,7110,7,Del Maule,7
7201,7201,7201,Cauquenes,7201,7201,7201,7,Del Maule,7
7202,7202,7202,Chanco,7202,7202,7202,7,Del Maule,7
7203,7203,7203,Pelluhue,7203,7203,7203,7,Del Maule,7
7301,7301,7301,Curicó,7301,7301,7301,7,Del Maule,7
7302,7302,7302,Hualañé,7302,7302,7302,7,Del Maule,7
7303,7303,7303,Licantén,7303,7303,7303,7,Del Maule,7
7304,7304,7304,Molina,7304,7304,7304,7,Del Maule,7
7305,7305,7305,Rauco,7305,7305,7305,7,Del Maule,7
7306,7306,7306,Romeral,7306,7306,7306,7,Del Maule,7
7307,7307,7307,Sagrada Familia,7307,7307,7307,7,Del Maule,7
7308,7308,7308,Teno,7308,7308,7308,7,Del Maule,7
7309,7309,7309,Vichuquén,7309,7309,7309,7,Del Maule,7
7401,7401,7401,Linares,7401,7401,7401,7,Del Maule,7
7402,7402,7402,Colbún,7402,7402,7402,7,Del Maule,7
7403,7403,7403,Longaví,7403,7403,7403,7,Del Maule,7
7404,7404,7404,Parral,7404,7404,7404,7,Del Maule,7
7405,7405,7405,Retiro,7405,7405,7405,7,Del Maule,7
7406,7406,7406,San Javier,7406,7406,7406,7,Del Maule,7
7407,7407,7407,Villa Alegre,7407,7407,7407,7,Del Maule,7
